Dt_Venda;Cod_prod;Cod_Cliente;Pr_custo;Pr_Unit;Qtde;Situacao;Cod_Canal_vendas;Cod_Vend
01/01/2017;2;8; R$1,10 ; R$1,16 ;63;N;2;8
01/01/2017;5;7; R$3,03 ; R$4,32 ;21;N;1;7
06/01/2017;6;2; R$2,79 ; R$2,94 ;93;N;2;2
06/01/2017;9;5; R$8,21 ; R$8,65 ;77;N;1;5
06/01/2017;6;10; R$2,76 ; R$2,91 ;47;N;1;
06/01/2017;9;3; R$2,61 ; R$2,75 ;92;N;1;3
06/01/2017;4;3; R$1,67 ; R$2,39 ;54;N;1;3
06/01/2017;7;5; R$0,99 ; R$1,41 ;64;N;1;5
06/01/2017;6;9; R$2,94 ; R$3,09 ;39;N;1;9
06/01/2017;6;1; R$2,88 ; R$3,03 ;79;N;1;1
06/01/2017;6;6; R$2,82 ; R$2,97 ;88;N;2;6
06/01/2017;4;7; R$1,70 ; R$2,43 ;82;N;1;7
06/01/2017;4;3; R$1,67 ; R$2,39 ;84;N;1;3
06/01/2017;4;6; R$1,70 ; R$2,43 ;19;N;1;6
06/01/2017;2;9; R$1,13 ; R$1,19 ;82;N;1;9
06/01/2017;9;1; R$7,89 ; R$8,30 ;49;N;1;1
06/01/2017;2;8; R$1,11 ; R$1,17 ;90;N;1;8
06/01/2017;5;9; R$2,94 ; R$4,19 ;58;N;1;9
06/01/2017;7;1; R$1,03 ; R$1,47 ;29;N;1;1
06/01/2017;3;6; R$0,79 ; R$0,99 ;111;N;2;6
07/01/2017;4;6; R$1,64 ; R$2,34 ;15;N;2;6
07/01/2017;4;10; R$1,72 ; R$2,46 ;103;C;1;
07/01/2017;9;2; R$2,56 ; R$2,70 ;95;N;2;2
07/01/2017;9;6; R$8,05 ; R$8,47 ;89;N;1;6
07/01/2017;9;2; R$8,13 ; R$8,56 ;17;N;1;2
07/01/2017;4;1; R$1,64 ; R$2,34 ;62;N;1;1
07/01/2017;7;4; R$1,03 ; R$1,47 ;68;N;2;4
07/01/2017;1;10; R$6,88 ; R$8,60 ;26;N;1;
07/01/2017;3;9; R$0,77 ; R$0,96 ;75;N;2;9
07/01/2017;5;2; R$2,94 ; R$4,19 ;76;N;1;2
07/01/2017;5;10; R$3,00 ; R$4,28 ;51;N;1;
07/01/2017;6;9; R$2,76 ; R$2,91 ;15;N;1;9
07/01/2017;3;5; R$0,77 ; R$0,96 ;86;N;1;5
07/01/2017;4;9; R$1,65 ; R$2,36 ;49;N;1;9
07/01/2017;4;4; R$1,70 ; R$2,43 ;71;N;2;4
07/01/2017;6;5; R$2,79 ; R$2,94 ;70;N;2;5
07/01/2017;9;8; R$2,64 ; R$2,78 ;71;N;1;8
07/01/2017;3;1; R$0,79 ; R$0,99 ;78;N;1;1
07/01/2017;5;3; R$3,03 ; R$4,32 ;45;N;1;3
07/01/2017;5;1; R$3,09 ; R$4,41 ;80;N;1;1
07/01/2017;7;8; R$1,02 ; R$1,45 ;42;N;1;8
07/01/2017;1;3; R$6,88 ; R$8,60 ;96;N;1;3
07/01/2017;7;7; R$1,02 ; R$1,45 ;71;N;1;7
07/01/2017;9;7; R$2,61 ; R$2,75 ;73;N;1;7
07/01/2017;9;9; R$8,38 ; R$8,82 ;22;N;2;9
08/01/2017;6;5; R$2,94 ; R$3,09 ;10;N;1;5
08/01/2017;7;9; R$1,04 ; R$1,48 ;69;N;1;9
08/01/2017;2;6; R$1,10 ; R$1,16 ;47;N;1;6
08/01/2017;7;8; R$0,99 ; R$1,41 ;44;C;1;8
08/01/2017;7;3; R$1,03 ; R$1,47 ;30;N;2;3
08/01/2017;6;3; R$2,76 ; R$2,91 ;72;N;1;3
08/01/2017;7;5; R$1,01 ; R$1,44 ;52;N;1;5
08/01/2017;9;1; R$2,69 ; R$2,84 ;71;N;1;1
08/01/2017;9;6; R$2,61 ; R$2,75 ;87;N;2;6
08/01/2017;2;10; R$1,10 ; R$1,16 ;39;N;1;
08/01/2017;3;6; R$0,76 ; R$0,95 ;72;N;1;6
08/01/2017;5;8; R$3,06 ; R$4,37 ;70;N;2;8
08/01/2017;1;7; R$6,61 ; R$8,27 ;98;N;2;7
08/01/2017;1;2; R$6,88 ; R$8,60 ;62;N;1;2
08/01/2017;2;10; R$1,10 ; R$1,16 ;44;N;1;
08/01/2017;2;4; R$1,09 ; R$1,14 ;62;N;1;4
08/01/2017;5;10; R$2,94 ; R$4,19 ;29;N;1;
08/01/2017;6;8; R$2,85 ; R$3,00 ;43;N;1;8
08/01/2017;7;8; R$0,98 ; R$1,40 ;70;N;2;8
08/01/2017;7;9; R$1,01 ; R$1,44 ;66;N;1;9
09/01/2017;1;3; R$6,88 ; R$8,60 ;55;N;1;3
09/01/2017;4;5; R$1,72 ; R$2,46 ;92;N;1;5
09/01/2017;9;1; R$2,64 ; R$2,78 ;78;N;1;1
09/01/2017;9;2; R$8,38 ; R$8,82 ;91;N;2;2
09/01/2017;4;7; R$1,65 ; R$2,36 ;18;N;1;7
09/01/2017;5;2; R$3,06 ; R$4,37 ;94;N;1;2
09/01/2017;9;8; R$8,21 ; R$8,65 ;48;N;1;8
09/01/2017;7;10; R$1,01 ; R$1,44 ;27;N;1;
09/01/2017;3;7; R$0,78 ; R$0,98 ;44;N;1;7
09/01/2017;7;3; R$1,01 ; R$1,44 ;24;N;2;3
09/01/2017;9;7; R$2,56 ; R$2,70 ;69;N;1;7
09/01/2017;9;1; R$8,38 ; R$8,82 ;93;N;1;1
09/01/2017;7;9; R$1,03 ; R$1,47 ;34;N;2;9
09/01/2017;6;7; R$2,85 ; R$3,00 ;80;N;1;7
09/01/2017;9;3; R$8,29 ; R$8,73 ;59;N;1;3
09/01/2017;4;4; R$1,65 ; R$2,36 ;77;N;1;4
09/01/2017;4;8; R$1,64 ; R$2,34 ;98;N;2;8
09/01/2017;9;9; R$8,29 ; R$8,73 ;69;N;2;9
09/01/2017;4;1; R$1,65 ; R$2,36 ;71;N;1;1
09/01/2017;5;10; R$2,91 ; R$4,15 ;85;N;1;
09/01/2017;2;7; R$1,15 ; R$1,22 ;58;N;1;7
09/01/2017;3;9; R$0,79 ; R$0,99 ;78;N;1;9
09/01/2017;3;5; R$0,78 ; R$0,97 ;49;N;1;5
09/01/2017;4;10; R$1,70 ; R$2,43 ;46;N;2;
09/01/2017;9;1; R$2,72 ; R$2,86 ;26;N;1;1
10/01/2017;1;9; R$6,48 ; R$8,10 ;81;N;2;9
10/01/2017;1;4; R$6,55 ; R$8,18 ;29;N;1;4
10/01/2017;7;3; R$1,03 ; R$1,47 ;95;N;1;3
10/01/2017;1;4; R$6,75 ; R$8,43 ;56;N;2;4
10/01/2017;2;3; R$1,15 ; R$1,22 ;26;N;2;3
10/01/2017;9;4; R$2,64 ; R$2,78 ;64;N;1;4
10/01/2017;9;2; R$8,29 ; R$8,73 ;97;N;1;2
10/01/2017;4;7; R$1,74 ; R$2,48 ;41;N;1;7
10/01/2017;1;6; R$6,75 ; R$8,43 ;49;N;2;6
10/01/2017;4;3; R$1,65 ; R$2,36 ;21;N;1;3
10/01/2017;4;2; R$1,65 ; R$2,36 ;37;N;2;2
10/01/2017;1;5; R$6,55 ; R$8,18 ;65;N;1;5
10/01/2017;2;9; R$1,15 ; R$1,22 ;96;N;1;9
10/01/2017;6;4; R$2,91 ; R$3,06 ;92;N;2;4
10/01/2017;6;4; R$2,85 ; R$3,00 ;30;N;2;4
10/01/2017;4;10; R$1,74 ; R$2,48 ;45;N;1;
10/01/2017;6;7; R$2,76 ; R$2,91 ;50;N;2;7
10/01/2017;6;1; R$2,91 ; R$3,06 ;92;N;2;1
10/01/2017;6;10; R$2,88 ; R$3,03 ;30;N;2;
11/01/2017;3;2; R$0,77 ; R$0,96 ;28;N;2;2
11/01/2017;4;5; R$1,70 ; R$2,43 ;10;N;2;5
11/01/2017;3;7; R$0,77 ; R$0,96 ;65;N;1;7
11/01/2017;4;9; R$1,69 ; R$2,41 ;38;N;1;9
11/01/2017;9;3; R$7,89 ; R$8,30 ;110;N;1;3
11/01/2017;4;7; R$1,65 ; R$2,36 ;22;N;2;7
11/01/2017;2;7; R$1,15 ; R$1,22 ;33;N;2;7
11/01/2017;5;5; R$3,03 ; R$4,32 ;111;N;1;5
11/01/2017;9;4; R$2,72 ; R$2,86 ;13;N;1;4
11/01/2017;7;5; R$1,00 ; R$1,43 ;72;N;2;5
11/01/2017;7;7; R$1,00 ; R$1,43 ;111;N;1;7
11/01/2017;3;5; R$0,77 ; R$0,96 ;93;N;1;5
11/01/2017;4;6; R$1,74 ; R$2,48 ;48;N;1;6
11/01/2017;9;7; R$2,67 ; R$2,81 ;43;N;2;7
12/01/2017;6;1; R$2,88 ; R$3,03 ;32;N;2;1
12/01/2017;6;6; R$2,91 ; R$3,06 ;96;N;2;6
12/01/2017;9;8; R$2,59 ; R$2,72 ;62;N;1;8
12/01/2017;1;4; R$6,88 ; R$8,60 ;18;N;1;4
12/01/2017;2;2; R$1,11 ; R$1,17 ;101;N;1;2
12/01/2017;4;2; R$1,74 ; R$2,48 ;106;N;2;2
12/01/2017;5;7; R$3,00 ; R$4,28 ;34;N;2;7
12/01/2017;1;10; R$6,68 ; R$8,35 ;97;N;1;
12/01/2017;7;5; R$1,01 ; R$1,44 ;91;N;2;5
12/01/2017;9;6; R$2,56 ; R$2,70 ;86;N;1;6
12/01/2017;9;6; R$8,13 ; R$8,56 ;18;N;1;6
12/01/2017;9;10; R$8,13 ; R$8,56 ;33;N;1;
